Effective Sparsity,Activation Error,Baseline Error,q,k,v,o,gate,up,down
0.0024242424242424242,0.0025501251220703125,0.0025844573974609375,0.0,0.0,0.0,0.0,0.0,0.0,0.009302325581395349
0.0048484848484848485,0.0046844482421875,0.007793426513671875,0.0,0.0,0.0,0.0,0.0,0.0,0.018604651162790697
0.007272727272727274,0.00658416748046875,0.0089111328125,0.0,0.0,0.0,0.0,0.009302325581395349,0.0,0.018604651162790697
0.009696969696969697,0.007648468017578125,0.01007080078125,0.0,0.0,0.0,0.0,0.009302325581395349,0.009302325581395349,0.018604651162790697
0.012121212121212121,0.00852203369140625,0.01136016845703125,0.0,0.0,0.0,0.0,0.009302325581395349,0.009302325581395349,0.027906976744186046
0.014545454545454547,0.009735107421875,0.01284027099609375,0.0,0.0,0.0,0.025,0.009302325581395349,0.009302325581395349,0.027906976744186046
0.01696969696969697,0.01108551025390625,0.01453399658203125,0.0,0.0,0.0,0.025,0.009302325581395349,0.009302325581395349,0.037209302325581395
0.019393939393939394,0.0130767822265625,0.0164642333984375,0.0,0.0,0.0,0.025,0.018604651162790697,0.009302325581395349,0.037209302325581395
0.02181818181818182,0.01474761962890625,0.01861572265625,0.0,0.0,0.0,0.025,0.018604651162790697,0.009302325581395349,0.046511627906976744
0.024242424242424242,0.01641845703125,0.02099609375,0.0,0.0,0.0,0.05,0.018604651162790697,0.009302325581395349,0.046511627906976744
0.02666666666666667,0.017669677734375,0.023590087890625,0.025,0.0,0.0,0.05,0.018604651162790697,0.009302325581395349,0.046511627906976744
0.02909090909090909,0.0191192626953125,0.0263824462890625,0.025,0.0,0.0,0.05,0.018604651162790697,0.018604651162790697,0.046511627906976744
0.03151515151515151,0.0209808349609375,0.029388427734375,0.025,0.0,0.0,0.05,0.018604651162790697,0.018604651162790697,0.05581395348837209
0.033939393939393936,0.0232391357421875,0.032562255859375,0.025,0.0,0.0,0.07500000000000001,0.018604651162790697,0.018604651162790697,0.05581395348837209
0.03636363636363636,0.025543212890625,0.035919189453125,0.025,0.0,0.0,0.07500000000000001,0.018604651162790697,0.018604651162790697,0.06511627906976744
0.03878787878787879,0.0279541015625,0.039398193359375,0.025,0.0,0.0,0.07500000000000001,0.027906976744186046,0.018604651162790697,0.06511627906976744
