Effective Sparsity,Activation Error,Baseline Error,q,k,v,o,gate,up,down
0.00196078431372549,0.0002956390380859375,0.0014467239379882812,0.0,0.0,0.0,0.0,0.0,0.0,0.007142857142857143
0.00392156862745098,0.0005779266357421875,0.0015811920166015625,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285
0.0058823529411764705,0.0008549690246582031,0.001739501953125,0.0,0.0,0.0,0.0,0.0,0.0,0.02142857142857143
0.00784313725490196,0.001049041748046875,0.0019245147705078125,0.0,0.0,0.0,0.0,0.007142857142857143,0.0,0.02142857142857143
0.00980392156862745,0.0012254714965820312,0.0021343231201171875,0.0,0.0,0.0,0.0,0.007142857142857143,0.007142857142857143,0.02142857142857143
0.011764705882352941,0.0014333724975585938,0.0023784637451171875,0.0,0.0,0.0,0.0,0.007142857142857143,0.007142857142857143,0.02857142857142857
0.013725490196078431,0.0016622543334960938,0.002658843994140625,0.0,0.0,0.0,0.0,0.014285714285714285,0.007142857142857143,0.02857142857142857
0.01568627450980392,0.0019235610961914062,0.0029697418212890625,0.0,0.0,0.0,0.0,0.014285714285714285,0.007142857142857143,0.03571428571428571
0.01764705882352941,0.0022029876708984375,0.003299713134765625,0.0,0.0,0.0,0.0,0.014285714285714285,0.014285714285714285,0.03571428571428571
0.0196078431372549,0.002521514892578125,0.0036602020263671875,0.0,0.0,0.0,0.0,0.014285714285714285,0.014285714285714285,0.04285714285714286
0.021568627450980395,0.002803802490234375,0.004039764404296875,0.0,0.0,0.0,0.0,0.02142857142857143,0.014285714285714285,0.04285714285714286
0.023529411764705882,0.003139495849609375,0.004444122314453125,0.025,0.0,0.0,0.0,0.02142857142857143,0.014285714285714285,0.04285714285714286
0.025490196078431372,0.0034770965576171875,0.0048675537109375,0.025,0.0,0.0,0.0,0.02142857142857143,0.014285714285714285,0.05
0.027450980392156862,0.003864288330078125,0.0053253173828125,0.025,0.0,0.0,0.0,0.02857142857142857,0.014285714285714285,0.05
0.029411764705882353,0.004215240478515625,0.0057830810546875,0.025,0.0,0.0,0.0,0.02857142857142857,0.02142857142857143,0.05
0.03137254901960784,0.00457000732421875,0.0062713623046875,0.025,0.0,0.0,0.0,0.02857142857142857,0.02142857142857143,0.05714285714285715
0.03333333333333334,0.00501251220703125,0.00675201416015625,0.025,0.0,0.0,0.0,0.02857142857142857,0.02142857142857143,0.0642857142857143
0.03529411764705882,0.005435943603515625,0.00726318359375,0.05,0.0,0.0,0.0,0.02857142857142857,0.02142857142857143,0.0642857142857143
0.03725490196078431,0.00583648681640625,0.007801055908203125,0.05,0.0,0.0,0.025,0.02857142857142857,0.02142857142857143,0.0642857142857143
0.0392156862745098,0.006221771240234375,0.00835418701171875,0.05,0.0,0.0,0.025,0.03571428571428571,0.02142857142857143,0.0642857142857143
0.041176470588235294,0.00664520263671875,0.0089111328125,0.05,0.0,0.0,0.025,0.03571428571428571,0.02857142857142857,0.0642857142857143
0.04313725490196079,0.007053375244140625,0.00948333740234375,0.05,0.0,0.0,0.025,0.03571428571428571,0.02857142857142857,0.07142857142857144
0.04509803921568628,0.0075225830078125,0.0100860595703125,0.05,0.0,0.0,0.025,0.04285714285714286,0.02857142857142857,0.07142857142857144
0.04705882352941177,0.0079803466796875,0.0106964111328125,0.05,0.0,0.0,0.025,0.04285714285714286,0.02857142857142857,0.07857142857142858
0.049019607843137254,0.00852203369140625,0.0113067626953125,0.05,0.0,0.0,0.025,0.04285714285714286,0.03571428571428571,0.07857142857142858
0.050980392156862744,0.00904083251953125,0.0119781494140625,0.05,0.0,0.0,0.025,0.04285714285714286,0.03571428571428571,0.08571428571428573
0.05294117647058824,0.00955963134765625,0.012664794921875,0.05,0.0,0.0,0.025,0.05,0.03571428571428571,0.08571428571428573
0.05490196078431373,0.0101165771484375,0.0133209228515625,0.07500000000000001,0.0,0.0,0.025,0.05,0.03571428571428571,0.08571428571428573
0.05686274509803922,0.010650634765625,0.014007568359375,0.07500000000000001,0.0,0.0,0.025,0.05,0.03571428571428571,0.09285714285714287
0.05882352941176471,0.01123046875,0.01470184326171875,0.07500000000000001,0.0,0.0,0.025,0.05714285714285715,0.03571428571428571,0.09285714285714287
0.06078431372549021,0.011810302734375,0.01541900634765625,0.07500000000000001,0.0,0.0,0.025,0.05714285714285715,0.04285714285714286,0.09285714285714287
0.06274509803921569,0.0123748779296875,0.0161590576171875,0.07500000000000001,0.0,0.0,0.05,0.05714285714285715,0.04285714285714286,0.09285714285714287
0.06470588235294118,0.012908935546875,0.0168609619140625,0.07500000000000001,0.0,0.0,0.05,0.05714285714285715,0.04285714285714286,0.10000000000000002
0.06666666666666668,0.0135040283203125,0.0176544189453125,0.07500000000000001,0.0,0.0,0.05,0.05714285714285715,0.04285714285714286,0.10714285714285716
0.06862745098039216,0.01409149169921875,0.0184173583984375,0.07500000000000001,0.0,0.0,0.05,0.0642857142857143,0.04285714285714286,0.10714285714285716
0.07058823529411766,0.01474761962890625,0.019195556640625,0.07500000000000001,0.0,0.0,0.05,0.0642857142857143,0.05,0.10714285714285716
0.07254901960784314,0.0153656005859375,0.01995849609375,0.07500000000000001,0.0,0.0,0.05,0.0642857142857143,0.05,0.11428571428571431
0.07450980392156864,0.016021728515625,0.020721435546875,0.07500000000000001,0.0,0.0,0.05,0.07142857142857144,0.05,0.11428571428571431
0.07647058823529412,0.0166778564453125,0.0214996337890625,0.1,0.0,0.0,0.05,0.07142857142857144,0.05,0.11428571428571431
0.07843137254901962,0.017333984375,0.0222930908203125,0.1,0.0,0.0,0.05,0.07142857142857144,0.05,0.12142857142857146
0.0803921568627451,0.018035888671875,0.0230712890625,0.1,0.0,0.0,0.05,0.07857142857142858,0.05,0.12142857142857146
0.08235294117647059,0.0187225341796875,0.023834228515625,0.1,0.0,0.0,0.05,0.07857142857142858,0.05714285714285715,0.12142857142857146
0.0843137254901961,0.0193939208984375,0.024627685546875,0.1,0.0,0.0,0.05,0.07857142857142858,0.05714285714285715,0.1285714285714286
0.08627450980392158,0.0201263427734375,0.0254974365234375,0.1,0.0,0.0,0.07500000000000001,0.07857142857142858,0.05714285714285715,0.1285714285714286
0.08823529411764708,0.020843505859375,0.026336669921875,0.1,0.0,0.0,0.07500000000000001,0.07857142857142858,0.05714285714285715,0.13571428571428573
0.09019607843137256,0.0215606689453125,0.02716064453125,0.1,0.0,0.0,0.07500000000000001,0.08571428571428573,0.05714285714285715,0.13571428571428573
0.09215686274509806,0.0222930908203125,0.02801513671875,0.1,0.0,0.0,0.07500000000000001,0.08571428571428573,0.0642857142857143,0.13571428571428573
0.09411764705882354,0.023040771484375,0.0288543701171875,0.1,0.0,0.0,0.07500000000000001,0.08571428571428573,0.0642857142857143,0.14285714285714288
0.09607843137254903,0.0237884521484375,0.0297393798828125,0.125,0.0,0.0,0.07500000000000001,0.08571428571428573,0.0642857142857143,0.14285714285714288
0.09803921568627455,0.0245208740234375,0.0306243896484375,0.125,0.0,0.0,0.07500000000000001,0.09285714285714287,0.0642857142857143,0.14285714285714288
