Effective Sparsity,Activation Error,Baseline Error,q,k,v,o,gate,up,down
0.001923076923076923,0.0008211135864257812,0.0025787353515625,0.0,0.0,0.0,0.0,0.0,0.0,0.007142857142857143
0.003846153846153846,0.0014019012451171875,0.0028514862060546875,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285
0.005769230769230769,0.00189971923828125,0.0031490325927734375,0.0,0.0,0.0,0.0,0.007142857142857143,0.0,0.014285714285714285
0.007692307692307692,0.00232696533203125,0.003482818603515625,0.0,0.0,0.0,0.0,0.007142857142857143,0.0,0.02142857142857143
0.009615384615384616,0.0026836395263671875,0.003875732421875,0.0,0.0,0.0,0.0,0.007142857142857143,0.007142857142857143,0.02142857142857143
0.011538461538461537,0.0031871795654296875,0.004322052001953125,0.0,0.0,0.0,0.0,0.014285714285714285,0.007142857142857143,0.02142857142857143
0.01346153846153846,0.00365447998046875,0.004833221435546875,0.0,0.0,0.0,0.0,0.014285714285714285,0.007142857142857143,0.02857142857142857
0.015384615384615385,0.004344940185546875,0.005397796630859375,0.0,0.0,0.0,0.0,0.014285714285714285,0.007142857142857143,0.03571428571428571
0.017307692307692305,0.004978179931640625,0.00601959228515625,0.0,0.0,0.0,0.0,0.014285714285714285,0.014285714285714285,0.03571428571428571
0.019230769230769232,0.00559234619140625,0.00669097900390625,0.0,0.0,0.0,0.0,0.02142857142857143,0.014285714285714285,0.03571428571428571
0.021153846153846155,0.006313323974609375,0.00742340087890625,0.0,0.0,0.0,0.0,0.02142857142857143,0.014285714285714285,0.04285714285714286
0.023076923076923075,0.007015228271484375,0.0081939697265625,0.0,0.0,0.0,0.025,0.02142857142857143,0.014285714285714285,0.04285714285714286
0.024999999999999998,0.007518768310546875,0.00901031494140625,0.025,0.0,0.0,0.025,0.02142857142857143,0.014285714285714285,0.04285714285714286
0.02692307692307692,0.00829315185546875,0.00986480712890625,0.025,0.0,0.0,0.025,0.02857142857142857,0.014285714285714285,0.04285714285714286
0.028846153846153848,0.0090179443359375,0.010772705078125,0.025,0.0,0.0,0.025,0.02857142857142857,0.014285714285714285,0.05
0.03076923076923077,0.00981903076171875,0.01171875,0.025,0.0,0.0,0.025,0.02857142857142857,0.02142857142857143,0.05
0.032692307692307694,0.01068115234375,0.01268768310546875,0.025,0.0,0.0,0.025,0.02857142857142857,0.02142857142857143,0.05714285714285715
0.03461538461538462,0.01154327392578125,0.01369476318359375,0.05,0.0,0.0,0.025,0.02857142857142857,0.02142857142857143,0.05714285714285715
0.03653846153846154,0.01238250732421875,0.01474761962890625,0.05,0.0,0.0,0.025,0.03571428571428571,0.02142857142857143,0.05714285714285715
0.038461538461538464,0.01329803466796875,0.015838623046875,0.05,0.0,0.0,0.025,0.03571428571428571,0.02142857142857143,0.0642857142857143
0.04038461538461539,0.014190673828125,0.0169525146484375,0.05,0.0,0.0,0.05,0.03571428571428571,0.02142857142857143,0.0642857142857143
0.04230769230769231,0.01519012451171875,0.0181121826171875,0.05,0.0,0.0,0.05,0.03571428571428571,0.02857142857142857,0.0642857142857143
0.044230769230769226,0.016143798828125,0.019287109375,0.05,0.0,0.0,0.05,0.04285714285714286,0.02857142857142857,0.0642857142857143
0.04615384615384616,0.0170745849609375,0.0204925537109375,0.05,0.0,0.0,0.05,0.04285714285714286,0.02857142857142857,0.07142857142857144
0.04807692307692308,0.0181732177734375,0.0217437744140625,0.05,0.0,0.0,0.05,0.04285714285714286,0.02857142857142857,0.07857142857142858
0.05,0.0193023681640625,0.0230255126953125,0.05,0.0,0.0,0.05,0.05,0.02857142857142857,0.07857142857142858
0.051923076923076926,0.0204925537109375,0.0243072509765625,0.07500000000000001,0.0,0.0,0.05,0.05,0.02857142857142857,0.07857142857142858
0.05384615384615385,0.0216522216796875,0.0256500244140625,0.07500000000000001,0.0,0.0,0.05,0.05,0.03571428571428571,0.07857142857142858
0.05576923076923078,0.0227508544921875,0.0269927978515625,0.07500000000000001,0.0,0.0,0.05,0.05,0.03571428571428571,0.08571428571428573
0.057692307692307696,0.0239410400390625,0.0283660888671875,0.07500000000000001,0.0,0.0,0.05,0.05714285714285715,0.03571428571428571,0.08571428571428573
0.059615384615384626,0.02508544921875,0.0297698974609375,0.07500000000000001,0.0,0.0,0.07500000000000001,0.05714285714285715,0.03571428571428571,0.08571428571428573
0.06153846153846154,0.026214599609375,0.0311737060546875,0.07500000000000001,0.1,0.0,0.07500000000000001,0.05714285714285715,0.03571428571428571,0.08571428571428573
0.06346153846153847,0.0273284912109375,0.032623291015625,0.07500000000000001,0.1,0.0,0.07500000000000001,0.05714285714285715,0.03571428571428571,0.09285714285714287
0.06538461538461539,0.0286102294921875,0.03411865234375,0.07500000000000001,0.1,0.0,0.07500000000000001,0.0642857142857143,0.03571428571428571,0.09285714285714287
0.06730769230769232,0.02984619140625,0.035614013671875,0.07500000000000001,0.1,0.0,0.07500000000000001,0.0642857142857143,0.03571428571428571,0.10000000000000002
0.06923076923076923,0.0310516357421875,0.037139892578125,0.07500000000000001,0.1,0.0,0.07500000000000001,0.0642857142857143,0.04285714285714286,0.10000000000000002
0.07115384615384615,0.032379150390625,0.0386962890625,0.07500000000000001,0.1,0.0,0.07500000000000001,0.0642857142857143,0.04285714285714286,0.10714285714285716
0.0730769230769231,0.03375244140625,0.040252685546875,0.07500000000000001,0.1,0.0,0.07500000000000001,0.07142857142857144,0.04285714285714286,0.10714285714285716
0.07500000000000001,0.03509521484375,0.041839599609375,0.1,0.1,0.0,0.07500000000000001,0.07142857142857144,0.04285714285714286,0.10714285714285716
0.07692307692307694,0.0364990234375,0.04345703125,0.1,0.1,0.0,0.1,0.07142857142857144,0.04285714285714286,0.10714285714285716
0.07884615384615386,0.037872314453125,0.04510498046875,0.1,0.1,0.0,0.1,0.07142857142857144,0.05,0.10714285714285716
0.08076923076923079,0.0391845703125,0.0467529296875,0.1,0.1,0.0,0.1,0.07142857142857144,0.05,0.11428571428571431
0.0826923076923077,0.04058837890625,0.048431396484375,0.1,0.1,0.0,0.1,0.07857142857142858,0.05,0.11428571428571431
0.08461538461538462,0.0419921875,0.05010986328125,0.1,0.1,0.0,0.1,0.07857142857142858,0.05,0.12142857142857146
0.08653846153846155,0.043548583984375,0.051849365234375,0.1,0.1,0.0,0.1,0.08571428571428573,0.05,0.12142857142857146
0.08846153846153847,0.045074462890625,0.053619384765625,0.1,0.1,0.0,0.1,0.08571428571428573,0.05,0.1285714285714286
0.09038461538461541,0.04656982421875,0.055389404296875,0.1,0.1,0.0,0.1,0.08571428571428573,0.05714285714285715,0.1285714285714286
0.09230769230769233,0.048187255859375,0.057159423828125,0.125,0.1,0.0,0.1,0.08571428571428573,0.05714285714285715,0.1285714285714286
0.09423076923076924,0.049774169921875,0.058990478515625,0.125,0.1,0.0,0.1,0.09285714285714287,0.05714285714285715,0.1285714285714286
0.09615384615384617,0.05133056640625,0.060821533203125,0.125,0.1,0.0,0.1,0.09285714285714287,0.05714285714285715,0.13571428571428573
0.09807692307692309,0.052886962890625,0.0626220703125,0.125,0.1,0.0,0.125,0.09285714285714287,0.05714285714285715,0.13571428571428573
0.10000000000000002,0.05450439453125,0.064453125,0.125,0.1,0.0,0.125,0.09285714285714287,0.0642857142857143,0.13571428571428573
0.10192307692307694,0.056121826171875,0.06634521484375,0.125,0.1,0.0,0.125,0.09285714285714287,0.0642857142857143,0.14285714285714288
0.10384615384615385,0.0577392578125,0.0682373046875,0.125,0.1,0.0,0.125,0.10000000000000002,0.0642857142857143,0.14285714285714288
0.10576923076923078,0.059478759765625,0.0701904296875,0.125,0.1,0.0,0.125,0.10000000000000002,0.0642857142857143,0.15000000000000002
0.10769230769230773,0.061248779296875,0.0721435546875,0.125,0.1,0.0,0.125,0.10714285714285716,0.0642857142857143,0.15000000000000002
0.10961538461538464,0.06298828125,0.07403564453125,0.125,0.1,0.0,0.125,0.10714285714285716,0.07142857142857144,0.15000000000000002
0.11153846153846156,0.0648193359375,0.0760498046875,0.15,0.1,0.0,0.125,0.10714285714285716,0.07142857142857144,0.15000000000000002
