Effective Sparsity,Activation Error,Baseline Error,q,k,v,o,gate,up,down
0.00196078431372549,0.0002830028533935547,0.0007157325744628906,0.0,0.0,0.0,0.0,0.0,0.0,0.007142857142857143
0.00392156862745098,0.0005140304565429688,0.0009889602661132812,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285
0.0058823529411764705,0.0007472038269042969,0.0011339187622070312,0.0,0.0,0.0,0.0,0.0,0.0,0.02142857142857143
0.00784313725490196,0.0008878707885742188,0.0012865066528320312,0.0,0.0,0.0,0.0,0.007142857142857143,0.0,0.02142857142857143
0.00980392156862745,0.0010204315185546875,0.00145721435546875,0.0,0.0,0.0,0.0,0.007142857142857143,0.007142857142857143,0.02142857142857143
0.011764705882352941,0.0012054443359375,0.001651763916015625,0.0,0.0,0.0,0.0,0.007142857142857143,0.007142857142857143,0.02857142857142857
0.013725490196078431,0.001392364501953125,0.0018701553344726562,0.0,0.0,0.0,0.0,0.014285714285714285,0.007142857142857143,0.02857142857142857
0.01568627450980392,0.001621246337890625,0.002117156982421875,0.0,0.0,0.0,0.0,0.014285714285714285,0.007142857142857143,0.03571428571428571
0.01764705882352941,0.0018491744995117188,0.0023860931396484375,0.0,0.0,0.0,0.0,0.014285714285714285,0.014285714285714285,0.03571428571428571
0.0196078431372549,0.002086639404296875,0.002674102783203125,0.0,0.0,0.0,0.025,0.014285714285714285,0.014285714285714285,0.03571428571428571
0.021568627450980395,0.0023288726806640625,0.0029926300048828125,0.0,0.0,0.0,0.025,0.02142857142857143,0.014285714285714285,0.03571428571428571
0.023529411764705882,0.0025501251220703125,0.003330230712890625,0.0,0.0,0.0,0.025,0.02142857142857143,0.014285714285714285,0.04285714285714286
0.02549019607843137,0.00275421142578125,0.003681182861328125,0.025,0.0,0.0,0.025,0.02142857142857143,0.014285714285714285,0.04285714285714286
0.027450980392156862,0.00302886962890625,0.004047393798828125,0.025,0.0,0.0,0.025,0.02142857142857143,0.014285714285714285,0.05
0.029411764705882353,0.0033416748046875,0.004451751708984375,0.025,0.0,0.0,0.025,0.02142857142857143,0.02142857142857143,0.05
0.03137254901960784,0.0036373138427734375,0.004852294921875,0.025,0.0,0.0,0.025,0.02857142857142857,0.02142857142857143,0.05
0.03333333333333333,0.003932952880859375,0.00527191162109375,0.025,0.0,0.0,0.025,0.02857142857142857,0.02142857142857143,0.05714285714285715
0.03529411764705882,0.00429534912109375,0.005718231201171875,0.025,0.0,0.0,0.025,0.02857142857142857,0.02142857142857143,0.0642857142857143
0.03725490196078431,0.004634857177734375,0.006168365478515625,0.025,0.0,0.0,0.05,0.02857142857142857,0.02142857142857143,0.0642857142857143
0.0392156862745098,0.0049896240234375,0.0066375732421875,0.05,0.0,0.0,0.05,0.02857142857142857,0.02142857142857143,0.0642857142857143
0.041176470588235294,0.005321502685546875,0.00714874267578125,0.05,0.0,0.0,0.05,0.03571428571428571,0.02142857142857143,0.0642857142857143
0.04313725490196079,0.00567626953125,0.007659912109375,0.05,0.0,0.0,0.05,0.03571428571428571,0.02857142857142857,0.0642857142857143
0.04509803921568628,0.006015777587890625,0.0081787109375,0.05,0.0,0.0,0.05,0.03571428571428571,0.02857142857142857,0.07142857142857144
0.04705882352941177,0.006420135498046875,0.00870513916015625,0.05,0.0,0.0,0.05,0.03571428571428571,0.02857142857142857,0.07857142857142858
0.049019607843137254,0.006805419921875,0.0092620849609375,0.05,0.0,0.0,0.05,0.04285714285714286,0.02857142857142857,0.07857142857142858
0.050980392156862744,0.007251739501953125,0.0098114013671875,0.05,0.0,0.0,0.05,0.04285714285714286,0.02857142857142857,0.08571428571428573
0.05294117647058824,0.0076904296875,0.01038360595703125,0.05,0.0,0.0,0.05,0.04285714285714286,0.03571428571428571,0.08571428571428573
0.05490196078431373,0.00814056396484375,0.010955810546875,0.05,0.0,0.0,0.05,0.05,0.03571428571428571,0.08571428571428573
0.05686274509803922,0.00859832763671875,0.0115509033203125,0.05,0.0,0.0,0.05,0.05,0.03571428571428571,0.09285714285714287
0.05882352941176471,0.009063720703125,0.01215362548828125,0.05,0.0,0.0,0.07500000000000001,0.05,0.03571428571428571,0.09285714285714287
0.06078431372549021,0.009552001953125,0.01274871826171875,0.07500000000000001,0.0,0.0,0.07500000000000001,0.05,0.03571428571428571,0.09285714285714287
0.0627450980392157,0.01003265380859375,0.01338958740234375,0.07500000000000001,0.0,0.0,0.07500000000000001,0.05,0.03571428571428571,0.10000000000000002
0.0647058823529412,0.010498046875,0.01403045654296875,0.07500000000000001,0.0,0.0,0.07500000000000001,0.05714285714285715,0.03571428571428571,0.10000000000000002
0.06666666666666668,0.010955810546875,0.01467132568359375,0.07500000000000001,0.0,0.0,0.07500000000000001,0.05714285714285715,0.04285714285714286,0.10000000000000002
0.06862745098039216,0.01145172119140625,0.01531982421875,0.07500000000000001,0.0,0.0,0.07500000000000001,0.05714285714285715,0.04285714285714286,0.10714285714285716
0.07058823529411766,0.0119781494140625,0.0159912109375,0.07500000000000001,0.0,0.0,0.07500000000000001,0.0642857142857143,0.04285714285714286,0.10714285714285716
0.07254901960784314,0.01251983642578125,0.01666259765625,0.07500000000000001,0.0,0.0,0.07500000000000001,0.0642857142857143,0.04285714285714286,0.11428571428571431
0.07450980392156864,0.01305389404296875,0.0173187255859375,0.07500000000000001,0.0,0.0,0.07500000000000001,0.0642857142857143,0.05,0.11428571428571431
0.07647058823529412,0.0136260986328125,0.0179901123046875,0.07500000000000001,0.0,0.0,0.07500000000000001,0.07142857142857144,0.05,0.11428571428571431
0.07843137254901962,0.01418304443359375,0.018707275390625,0.07500000000000001,0.0,0.0,0.07500000000000001,0.07142857142857144,0.05,0.12142857142857146
0.0803921568627451,0.01477813720703125,0.0194091796875,0.07500000000000001,0.0,0.0,0.1,0.07142857142857144,0.05,0.12142857142857146
