Effective Sparsity,Activation Error,Baseline Error,q,k,v,o,gate,up,down
0.001923076923076923,0.0015277862548828125,0.00571441650390625,0.0,0.0,0.0,0.0,0.0,0.0,0.007142857142857143
0.003846153846153846,0.002651214599609375,0.00603485107421875,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285
0.005769230769230769,0.0033130645751953125,0.00641632080078125,0.0,0.0,0.0,0.0,0.007142857142857143,0.0,0.014285714285714285
0.007692307692307692,0.003814697265625,0.00682830810546875,0.0,0.0,0.0,0.0,0.007142857142857143,0.007142857142857143,0.014285714285714285
0.009615384615384616,0.0044097900390625,0.007305145263671875,0.0,0.0,0.0,0.0,0.007142857142857143,0.007142857142857143,0.02142857142857143
0.011538461538461537,0.0052642822265625,0.00785064697265625,0.0,0.0,0.0,0.0,0.014285714285714285,0.007142857142857143,0.02142857142857143
0.01346153846153846,0.005947113037109375,0.00844573974609375,0.0,0.0,0.0,0.0,0.014285714285714285,0.007142857142857143,0.02857142857142857
0.015384615384615384,0.006683349609375,0.00911712646484375,0.0,0.0,0.0,0.0,0.014285714285714285,0.014285714285714285,0.02857142857142857
0.017307692307692305,0.007534027099609375,0.009857177734375,0.0,0.0,0.0,0.0,0.014285714285714285,0.014285714285714285,0.03571428571428571
0.019230769230769232,0.00850677490234375,0.0106658935546875,0.0,0.0,0.0,0.0,0.02142857142857143,0.014285714285714285,0.03571428571428571
0.021153846153846155,0.0095062255859375,0.0115509033203125,0.0,0.0,0.0,0.0,0.02142857142857143,0.014285714285714285,0.04285714285714286
0.023076923076923075,0.0106658935546875,0.01251983642578125,0.0,0.0,0.0,0.0,0.02142857142857143,0.02142857142857143,0.04285714285714286
0.025,0.01181793212890625,0.01355743408203125,0.0,0.0,0.0,0.0,0.02142857142857143,0.02142857142857143,0.05
0.02692307692307692,0.013031005859375,0.014678955078125,0.0,0.0,0.0,0.0,0.02857142857142857,0.02142857142857143,0.05
0.028846153846153848,0.014190673828125,0.015869140625,0.025,0.0,0.0,0.0,0.02857142857142857,0.02142857142857143,0.05
0.03076923076923077,0.01512908935546875,0.0171051025390625,0.025,0.0,0.0,0.025,0.02857142857142857,0.02142857142857143,0.05
0.032692307692307694,0.0162811279296875,0.0184173583984375,0.025,0.0,0.0,0.025,0.02857142857142857,0.02142857142857143,0.05714285714285715
0.03461538461538462,0.0175323486328125,0.0197906494140625,0.05,0.0,0.0,0.025,0.02857142857142857,0.02142857142857143,0.05714285714285715
0.03653846153846154,0.0188446044921875,0.021240234375,0.05,0.0,0.0,0.05,0.02857142857142857,0.02142857142857143,0.05714285714285715
0.038461538461538464,0.0200653076171875,0.022735595703125,0.05,0.0,0.0,0.05,0.02857142857142857,0.02857142857142857,0.05714285714285715
0.04038461538461539,0.021240234375,0.0242767333984375,0.05,0.0,0.0,0.05,0.02857142857142857,0.02857142857142857,0.0642857142857143
0.04230769230769231,0.0224151611328125,0.02587890625,0.05,0.0,0.0,0.05,0.03571428571428571,0.02857142857142857,0.0642857142857143
0.04423076923076923,0.0237884521484375,0.02752685546875,0.05,0.0,0.0,0.05,0.03571428571428571,0.02857142857142857,0.07142857142857144
0.04615384615384616,0.0254058837890625,0.0292510986328125,0.05,0.0,0.0,0.05,0.04285714285714286,0.02857142857142857,0.07142857142857144
0.04807692307692308,0.0269317626953125,0.0309906005859375,0.05,0.0,0.0,0.05,0.04285714285714286,0.02857142857142857,0.07857142857142858
0.05,0.0284271240234375,0.032806396484375,0.05,0.0,0.0,0.05,0.04285714285714286,0.03571428571428571,0.07857142857142858
0.051923076923076926,0.0299072265625,0.034637451171875,0.05,0.0,0.0,0.07500000000000001,0.04285714285714286,0.03571428571428571,0.07857142857142858
0.05384615384615385,0.031524658203125,0.036529541015625,0.05,0.0,0.0,0.07500000000000001,0.04285714285714286,0.03571428571428571,0.08571428571428573
0.05576923076923078,0.03314208984375,0.038421630859375,0.07500000000000001,0.0,0.0,0.07500000000000001,0.04285714285714286,0.03571428571428571,0.08571428571428573
0.057692307692307696,0.03472900390625,0.0404052734375,0.07500000000000001,0.1,0.0,0.07500000000000001,0.04285714285714286,0.03571428571428571,0.08571428571428573
0.059615384615384626,0.03631591796875,0.042449951171875,0.07500000000000001,0.1,0.0,0.07500000000000001,0.05,0.03571428571428571,0.08571428571428573
0.06153846153846154,0.037994384765625,0.04449462890625,0.07500000000000001,0.1,0.0,0.07500000000000001,0.05,0.03571428571428571,0.09285714285714287
0.06346153846153847,0.03961181640625,0.046600341796875,0.07500000000000001,0.1,0.0,0.07500000000000001,0.05,0.04285714285714286,0.09285714285714287
0.06538461538461539,0.04132080078125,0.048736572265625,0.07500000000000001,0.1,0.0,0.1,0.05,0.04285714285714286,0.09285714285714287
0.06730769230769232,0.043060302734375,0.050933837890625,0.07500000000000001,0.1,0.0,0.1,0.05,0.04285714285714286,0.10000000000000002
0.06923076923076923,0.0447998046875,0.053131103515625,0.07500000000000001,0.1,0.0,0.1,0.05714285714285715,0.04285714285714286,0.10000000000000002
0.07115384615384615,0.046722412109375,0.055389404296875,0.07500000000000001,0.1,0.0,0.1,0.05714285714285715,0.04285714285714286,0.10714285714285716
0.0730769230769231,0.048675537109375,0.057647705078125,0.07500000000000001,0.1,0.0,0.1,0.05714285714285715,0.05,0.10714285714285716
0.07500000000000001,0.050689697265625,0.0599365234375,0.07500000000000001,0.1,0.0,0.125,0.05714285714285715,0.05,0.10714285714285716
0.07692307692307694,0.0526123046875,0.06231689453125,0.07500000000000001,0.1,0.0,0.125,0.0642857142857143,0.05,0.10714285714285716
0.07884615384615386,0.0545654296875,0.064697265625,0.1,0.1,0.0,0.125,0.0642857142857143,0.05,0.10714285714285716
0.08076923076923077,0.056427001953125,0.067138671875,0.1,0.1,0.0,0.125,0.0642857142857143,0.05,0.11428571428571431
0.0826923076923077,0.058563232421875,0.069580078125,0.1,0.1,0.0,0.125,0.0642857142857143,0.05,0.12142857142857146
0.08461538461538462,0.060638427734375,0.07208251953125,0.1,0.1,0.0,0.125,0.0642857142857143,0.05714285714285715,0.12142857142857146
0.08653846153846154,0.06268310546875,0.0745849609375,0.1,0.1,0.0,0.125,0.07142857142857144,0.05714285714285715,0.12142857142857146
0.08846153846153847,0.06488037109375,0.0771484375,0.1,0.1,0.0,0.15,0.07142857142857144,0.05714285714285715,0.12142857142857146
0.09038461538461541,0.0670166015625,0.0797119140625,0.1,0.1,0.0,0.15,0.07142857142857144,0.05714285714285715,0.1285714285714286
0.09230769230769233,0.06927490234375,0.0823974609375,0.1,0.1,0.0,0.15,0.07857142857142858,0.05714285714285715,0.1285714285714286
0.09423076923076924,0.07159423828125,0.0849609375,0.1,0.1,0.0,0.15,0.07857142857142858,0.0642857142857143,0.1285714285714286
0.09615384615384617,0.07379150390625,0.087646484375,0.1,0.1,0.0,0.15,0.07857142857142858,0.0642857142857143,0.13571428571428573
0.09807692307692309,0.076171875,0.09039306640625,0.125,0.1,0.0,0.15,0.07857142857142858,0.0642857142857143,0.13571428571428573
0.1,0.07855224609375,0.09307861328125,0.125,0.1,0.0,0.175,0.07857142857142858,0.0642857142857143,0.13571428571428573
0.10192307692307694,0.08087158203125,0.0958251953125,0.125,0.1,0.0,0.175,0.07857142857142858,0.0642857142857143,0.14285714285714288
0.10384615384615385,0.08319091796875,0.09869384765625,0.125,0.1,0.0,0.175,0.08571428571428573,0.0642857142857143,0.14285714285714288
0.10576923076923077,0.08563232421875,0.10150146484375,0.125,0.1,0.0,0.175,0.08571428571428573,0.07142857142857144,0.14285714285714288
0.1076923076923077,0.0880126953125,0.10430908203125,0.125,0.1,0.0,0.175,0.08571428571428573,0.07142857142857144,0.15000000000000002
0.10961538461538464,0.09051513671875,0.10723876953125,0.125,0.1,0.0,0.175,0.09285714285714287,0.07142857142857144,0.15000000000000002
0.11153846153846156,0.0931396484375,0.110107421875,0.125,0.1,0.1,0.175,0.09285714285714287,0.07142857142857144,0.15000000000000002
0.11346153846153849,0.095703125,0.11309814453125,0.125,0.1,0.1,0.19999999999999998,0.09285714285714287,0.07142857142857144,0.15000000000000002
0.1153846153846154,0.09820556640625,0.115966796875,0.125,0.1,0.1,0.19999999999999998,0.09285714285714287,0.07142857142857144,0.15714285714285717
0.11730769230769232,0.1007080078125,0.11895751953125,0.125,0.1,0.1,0.19999999999999998,0.09285714285714287,0.07857142857142858,0.15714285714285717
0.11923076923076924,0.103271484375,0.12200927734375,0.15,0.1,0.1,0.19999999999999998,0.09285714285714287,0.07857142857142858,0.15714285714285717
0.12115384615384615,0.10577392578125,0.1251220703125,0.15,0.1,0.1,0.19999999999999998,0.10000000000000002,0.07857142857142858,0.15714285714285717
0.12307692307692308,0.1082763671875,0.128173828125,0.15,0.1,0.1,0.19999999999999998,0.10000000000000002,0.07857142857142858,0.1642857142857143
0.125,0.1109619140625,0.1312255859375,0.15,0.1,0.1,0.19999999999999998,0.10000000000000002,0.07857142857142858,0.17142857142857146
0.12692307692307694,0.11370849609375,0.13427734375,0.15,0.1,0.1,0.22499999999999998,0.10000000000000002,0.07857142857142858,0.17142857142857146
0.12884615384615386,0.1163330078125,0.137451171875,0.15,0.1,0.1,0.22499999999999998,0.10000000000000002,0.08571428571428573,0.17142857142857146
0.13076923076923078,0.11895751953125,0.1407470703125,0.15,0.1,0.1,0.22499999999999998,0.10714285714285716,0.08571428571428573,0.17142857142857146
0.1326923076923077,0.1217041015625,0.1439208984375,0.15,0.1,0.1,0.22499999999999998,0.10714285714285716,0.08571428571428573,0.1785714285714286
0.1346153846153846,0.12457275390625,0.147216796875,0.15,0.1,0.1,0.22499999999999998,0.11428571428571431,0.08571428571428573,0.1785714285714286
0.13653846153846153,0.12744140625,0.150390625,0.15,0.1,0.1,0.22499999999999998,0.11428571428571431,0.09285714285714287,0.1785714285714286
0.13846153846153847,0.1302490234375,0.1536865234375,0.15,0.1,0.1,0.22499999999999998,0.11428571428571431,0.09285714285714287,0.18571428571428575
0.1403846153846154,0.1331787109375,0.156982421875,0.175,0.1,0.1,0.22499999999999998,0.11428571428571431,0.09285714285714287,0.18571428571428575
0.14230769230769233,0.135986328125,0.160400390625,0.175,0.1,0.1,0.24999999999999997,0.11428571428571431,0.09285714285714287,0.18571428571428575
0.14423076923076925,0.138916015625,0.1636962890625,0.175,0.1,0.1,0.24999999999999997,0.12142857142857146,0.09285714285714287,0.18571428571428575
0.14615384615384616,0.141845703125,0.1671142578125,0.175,0.2,0.1,0.24999999999999997,0.12142857142857146,0.09285714285714287,0.18571428571428575
0.1480769230769231,0.1446533203125,0.1705322265625,0.175,0.2,0.1,0.24999999999999997,0.12142857142857146,0.09285714285714287,0.1928571428571429
0.15000000000000002,0.1475830078125,0.1741943359375,0.175,0.2,0.1,0.24999999999999997,0.12142857142857146,0.10000000000000002,0.1928571428571429
0.15192307692307694,0.1505126953125,0.1776123046875,0.175,0.2,0.1,0.24999999999999997,0.12142857142857146,0.10000000000000002,0.20000000000000004
0.15384615384615385,0.1534423828125,0.18115234375,0.175,0.2,0.1,0.24999999999999997,0.1285714285714286,0.10000000000000002,0.20000000000000004
0.1557692307692308,0.156494140625,0.1845703125,0.175,0.2,0.1,0.27499999999999997,0.1285714285714286,0.10000000000000002,0.20000000000000004
0.15769230769230771,0.15966796875,0.1881103515625,0.19999999999999998,0.2,0.1,0.27499999999999997,0.1285714285714286,0.10000000000000002,0.20000000000000004
